actual_quantity,rf_predicted,xgb_predicted,lr_predicted
0,0.0,0.00012611318,0.076577215086445
0,0.0,8.903557e-05,0.0729487943156073
0,0.0,6.1944935e-05,0.13550014253405607
20,11.14,14.965374,20.134593776991096
50,34.74,32.77769,50.19101162842367
0,20.01,0.9143914,0.1819586495985277
0,13.7,18.95921,0.25614461858822324
0,11.16,12.119792,0.40832154601662296
0,7.66,5.62113,0.4821694027561989
0,5.84,5.5966964,0.41950591795739456
0,3.47,0.37412286,0.2910131812452619
0,0.66,0.15252548,0.33328524457078856
0,0.66,0.20616247,0.3692065920222376
0,0.4,0.03713699,0.38878875246086864
0,0.2,0.03169921,0.43904787859105454
0,0.2,-0.008306475,0.4426712929639507
0,0.17,-0.015363102,0.4077822798528814
0,0.17,-0.016579228,0.34074533121133754
20,9.83,15.15132,20.486241166252512
0,3.78,4.3159695,0.6783430719556236
0,2.6,2.096112,0.5772237300768666
0,0.45,0.19947018,0.5770983589250136
0,0.45,0.26894528,0.5281146687398177
0,1.49,0.49393576,0.4920888909787209
0,0.17,0.2109907,0.33905727744286196
0,0.17,0.011302572,0.317936945331212
0,0.17,-0.0071943477,0.30068458450614344
0,0.17,0.0016515462,0.28929712680087505
0,0.17,0.0016169064,0.3300281254394122
15,9.87,14.88051,15.345501765184508
0,0.89,0.03247223,0.3267882982111132
0,0.29,-0.015539773,0.3052440790570472
0,0.35,0.25526646,0.32339856743101336
0,1.49,0.6529949,0.4276486759308682
0,0.17,0.20629452,0.3971414325008027
0,0.17,0.036043398,0.34583913386723
0,0.17,0.0021415919,0.32694694458177764
0,0.17,-0.0033839764,0.3110953174534643
0,0.17,0.00062039477,0.29974667321403103
25,13.71,7.150518,25.326321788643554
0,4.21,3.344685,0.30887637774389987
0,5.46,3.4788349,0.33948738273488743
0,5.2,3.097621,0.4115126142291956
0,0.62,0.36451024,0.438681975017289
10,5.43,5.6057096,10.548068322603285
0,2.18,0.011310298,0.3750407869247283
0,0.26,0.12113905,0.3773589583588546
0,0.23,0.123741634,0.38369764337494416
0,0.17,-0.00031269423,0.39282728900479924
0,0.05,0.03042275,0.4468083022857172
0,0.05,-0.016310327,0.3839403978715836
0,0.05,0.035114374,0.37813141194874333
0,0.05,0.03548647,0.33854736630951265
0,0.05,0.0003692763,0.3436251234898009
0,0.05,0.0003692763,0.45047582797815267
0,0.05,0.0003692763,0.3967448432715628
40,19.18,29.448017,40.49950679823701
0,17.01,3.715565,0.442582619991299
0,8.06,2.4986866,0.46910318949153407
0,5.15,3.315571,0.5546851409806095
0,1.95,0.07837542,0.5693394957331748
0,0.2,0.010826403,0.5842415941760919
0,0.05,0.048900653,0.34588276409067475
0,0.35,0.032599,0.42362132328025837
0,0.05,0.03777002,0.43156127155589274
0,0.2,0.03349803,0.44311436619932465
40,17.21,25.700518,40.50131505168383
0,10.23,0.2327712,0.49076062762173933
0,10.46,3.1225944,0.5311847972354826
0,10.78,5.5924983,0.5537870613111409
0,5.77,2.063671,0.6798242370798562
0,5.19,4.1924696,0.9090455986006418
2,0.18,0.09666498,2.6183660183125994
0,0.44,0.16357723,0.5866795743390867
0,0.43,0.3001426,0.5654800704751324
0,0.05,0.08551582,0.5563438899787343
0,0.62,0.0978628,0.5174905836395283
0,0.05,0.06440826,0.570403541055839
0,0.05,0.041770566,0.5384545650056225
0,0.05,0.027175244,0.46839956035773866
5,2.14,4.5304008,5.480348769308648
0,0.32,0.030189142,0.6592322778333255
0,0.3,0.17428683,0.5794324416299332
0,0.05,-0.022428408,0.520872349151432
0,0.05,0.07985305,0.5417719925410438
0,0.05,0.08117455,0.5030922222999834
0,0.05,0.063797094,0.4435590710975248
0,0.05,0.0011585603,0.42952291376218454
0,0.05,0.0008163714,0.40594139572317545
0,0.05,0.0008163714,0.38680132291801783
0,0.05,0.0016596458,0.36624361751773904
0,0.05,0.0008321783,0.4172546657512157
0,0.05,0.001057463,0.4021644611461852
0,0.05,0.0010469628,0.3817220841594917
0,0.05,0.0014486668,0.3709663980409914
0,0.05,0.0011526603,0.3830286684853945
0,0.05,0.0024617556,0.3624514668424581
0,0.05,0.0024617556,0.34454476108066956
30,23.57,28.80457,30.459893371756834
15,12.52,2.2656307,15.471964797501641
0,7.11,2.8329053,0.507309056390568
0,6.44,5.1580386,0.5606224950870455
0,6.53,5.2269707,0.6121807366262146
0,2.82,2.0450575,0.655882688819247
0,0.08,0.06834196,0.5032852412423381
0,0.18,0.028818013,0.5046308353341828
0,1.25,0.47615156,0.526844580566376
0,0.05,0.022229642,0.5478909949063109
0,0.05,0.034886245,0.5418018512812068
0,0.05,0.027413754,0.5366596585981824
0,0.05,0.028524097,0.5317942128535833
0,0.05,0.03425153,0.48319059001846654
0,0.05,-0.0017789704,0.5332846596095351
0,0.05,-0.001784277,0.6750921447010114
0,0.05,-0.0017947772,0.683870804134358
0,0.05,-0.0040508606,0.6065320195807544
0,0.05,-0.0040508606,0.5460585700991487
0,0.05,0.00073824043,0.4982326165848008
0,0.05,0.0015815148,0.45989078657157734
0,0.05,0.0007540473,0.4953705329492095
0,0.05,0.0007487406,0.46947251976257576
10,7.24,3.519386,10.469768965400363
0,0.1,0.008779658,0.44891642021934786
0,0.15,-0.027968248,0.44519724532551663
0,0.05,0.0025799538,0.44566925590493156
0,0.1,-0.028097004,0.44535339690582987
0,0.05,0.029658552,0.510940609493673
0,0.05,0.011066944,0.4458499489469432
0,0.05,0.0009688323,0.44261561135317606
0,0.05,0.0009688323,0.4382401901000321
0,0.05,0.0024545186,0.45131888423384225
0,0.05,0.0024545186,0.43854253594804504
0,0.05,0.0064297523,0.43084206870685193
0,0.08,0.0038082125,0.48758950565843406
10,6.4,1.3152908,10.486876345600194
